ma_hoa_don,thoi_gian,ma_khach_hang,ten_khach_hang,tong_tien_hang,giam_gia,khach_da_tra,con_can_thu,trang_thai,ngay_tao
HD000014,2026-04-10T00:00:00,KH01027,Hà Mai Trần,2001000,0,2001000,0,Hoàn thành,2026-04-10T00:00:00
HD000015,2026-05-19T00:00:00,KH01024,Hà Thị Bùi,1400000,0,1400000,0,Hoàn thành,2026-05-19T00:00:00
HD000016,2026-04-23T00:00:00,KH01008,Chi Đặng,2104250,0,2104250,0,Hoàn thành,2026-04-23T00:00:00
HD000017,2026-05-27T00:00:00,KH01043,Anh Mai Bùi,864000,0,864000,0,Hoàn thành,2026-05-27T00:00:00
HD000018,2026-04-01T00:00:00,KH01064,Chị Mai Bùi,3558000,0,3558000,0,Hoàn thành,2026-04-01T00:00:00
HD000019,2026-03-19T00:00:00,KH01068,Dương Mai,1948000,0,1948000,0,Hoàn thành,2026-03-19T00:00:00
HD000020,2026-04-12T00:00:00,KH01036,Ông Trọng Phạm,3807300,0,3807300,0,Hoàn thành,2026-04-12T00:00:00
HD000021,2026-04-10T00:00:00,KH01021,Nhiên Đặng,1440000,0,1440000,0,Hoàn thành,2026-04-10T00:00:00
HD000022,2026-05-19T00:00:00,KH01059,Cô Linh Lê,5706200,0,5706200,0,Hoàn thành,2026-05-19T00:00:00
HD000023,2026-04-19T00:00:00,KH01086,Hạnh Phú Dương,3090700,0,3090700,0,Hoàn thành,2026-04-19T00:00:00
HD000024,2026-04-02T00:00:00,KH01074,Bác Trọng Đặng,1017000,0,1017000,0,Hoàn thành,2026-04-02T00:00:00
HD000025,2026-05-11T00:00:00,KH01033,Quý cô Kim Lê,3299250,0,3299250,0,Hoàn thành,2026-05-11T00:00:00
HD000026,2026-05-05T00:00:00,KH01003,Thành Mai Bùi,2184000,0,2184000,0,Hoàn thành,2026-05-05T00:00:00
HD000027,2026-05-31T00:00:00,KH01043,Anh Mai Bùi,1710800,0,1710800,0,Hoàn thành,2026-05-31T00:00:00
HD000028,2026-05-15T00:00:00,KH01037,Hạnh Thị Nguyễn,1674000,0,1674000,0,Hoàn thành,2026-05-15T00:00:00
HD000029,2026-03-17T00:00:00,KH01024,Hà Thị Bùi,2486400,0,2486400,0,Hoàn thành,2026-03-17T00:00:00
HD000030,2026-04-20T00:00:00,KH01057,Bác Anh Phạm,181000,0,181000,0,Hoàn thành,2026-04-20T00:00:00
HD000031,2026-05-10T00:00:00,KH01100,Bà Bảo Phạm,4001000,0,4001000,0,Hoàn thành,2026-05-10T00:00:00
HD000032,2026-04-01T00:00:00,KH01059,Cô Linh Lê,1613000,0,1613000,0,Hoàn thành,2026-04-01T00:00:00
HD000033,2026-05-05T00:00:00,KH01017,Cô Linh Hoàng,3375000,0,3375000,0,Hoàn thành,2026-05-05T00:00:00
HD000034,2026-05-12T00:00:00,KH01037,Hạnh Thị Nguyễn,1401800,0,1401800,0,Hoàn thành,2026-05-12T00:00:00
HD000035,2026-03-24T00:00:00,KH01020,Nhật Phú Bùi,1012000,0,1012000,0,Hoàn thành,2026-03-24T00:00:00
HD000036,2026-03-12T00:00:00,KH01030,Quang Tấn Hoàng,5594200,0,5594200,0,Hoàn thành,2026-03-12T00:00:00
HD000037,2026-05-26T00:00:00,KH01001,Bà Nhật Mai,962000,0,962000,0,Hoàn thành,2026-05-26T00:00:00
HD000038,2026-05-02T00:00:00,KH01021,Nhiên Đặng,2858000,0,2858000,0,Hoàn thành,2026-05-02T00:00:00
HD000039,2026-03-27T00:00:00,KH01021,Nhiên Đặng,716000,0,716000,0,Hoàn thành,2026-03-27T00:00:00
HD000040,2026-04-24T00:00:00,KH01005,Yến Dương,1146000,114600,1031400,0,Hoàn thành,2026-04-24T00:00:00
HD000041,2026-03-17T00:00:00,KH01025,Hà Hữu Mai,2082700,0,2082700,0,Hoàn thành,2026-03-17T00:00:00
HD000042,2026-06-04T00:00:00,KH01033,Quý cô Kim Lê,4069600,406960,3662640,0,Hoàn thành,2026-06-04T00:00:00
HD000043,2026-05-30T00:00:00,KH01025,Hà Hữu Mai,1359500,0,1359500,0,Hoàn thành,2026-05-30T00:00:00
HD000044,2026-04-27T00:00:00,KH01024,Hà Thị Bùi,2612000,0,2612000,0,Hoàn thành,2026-04-27T00:00:00
HD000045,2026-04-01T00:00:00,KH01039,Lâm Phạm,4014000,0,4014000,0,Hoàn thành,2026-04-01T00:00:00
HD000046,2026-04-23T00:00:00,KH01044,Anh Mai,3857200,0,3857200,0,Hoàn thành,2026-04-23T00:00:00
HD000047,2026-04-27T00:00:00,KH01086,Hạnh Phú Dương,1591000,0,1591000,0,Hoàn thành,2026-04-27T00:00:00
HD000048,2026-03-26T00:00:00,KH01038,Mai Hoàng,5459750,0,5459750,0,Hoàn thành,2026-03-26T00:00:00
HD000049,2026-05-10T00:00:00,KH01010,Bác Hưng Dương,1666000,0,1666000,0,Hoàn thành,2026-05-10T00:00:00
HD000050,2026-05-18T00:00:00,KH01038,Mai Hoàng,2315000,231500,2083500,0,Hoàn thành,2026-05-18T00:00:00
HD000051,2026-05-18T00:00:00,KH01041,Nam Mai,2129800,0,2129800,0,Hoàn thành,2026-05-18T00:00:00
HD000052,2026-04-22T00:00:00,KH01009,Châu Hoàng,4086000,0,4086000,0,Hoàn thành,2026-04-22T00:00:00
HD000053,2026-04-06T00:00:00,KH01025,Hà Hữu Mai,3060000,0,3060000,0,Hoàn thành,2026-04-06T00:00:00
HD000054,2026-03-30T00:00:00,KH01047,Hưng Mai,3515000,351500,3163500,0,Hoàn thành,2026-03-30T00:00:00
HD000055,2026-05-28T00:00:00,KH01039,Lâm Phạm,3349000,0,3349000,0,Hoàn thành,2026-05-28T00:00:00
HD000056,2026-04-22T00:00:00,KH01094,Vi Trần,3229800,0,3229800,0,Hoàn thành,2026-04-22T00:00:00
HD000057,2026-04-27T00:00:00,KH01062,Yến Đặng,2977000,0,2977000,0,Hoàn thành,2026-04-27T00:00:00
HD000058,2026-04-08T00:00:00,KH01016,Trung Hải Trần,3042200,0,3042200,0,Hoàn thành,2026-04-08T00:00:00
HD000059,2026-04-29T00:00:00,KH01004,Bảo Quang Mai,578000,0,578000,0,Hoàn thành,2026-04-29T00:00:00
HD000060,2026-05-26T00:00:00,KH01009,Châu Hoàng,2847000,0,2847000,0,Hoàn thành,2026-05-26T00:00:00
HD000061,2026-05-13T00:00:00,KH01029,Linh Lê,1970000,0,1970000,0,Hoàn thành,2026-05-13T00:00:00
HD000062,2026-05-13T00:00:00,KH01010,Bác Hưng Dương,6436000,0,6436000,0,Hoàn thành,2026-05-13T00:00:00
HD000063,2026-03-23T00:00:00,KH01095,Ông Anh Hoàng,3724000,0,3724000,0,Hoàn thành,2026-03-23T00:00:00
HD000064,2026-04-26T00:00:00,KH01048,Bà Vi Dương,918000,0,918000,0,Hoàn thành,2026-04-26T00:00:00
HD000065,2026-06-05T00:00:00,KH01015,Lâm Mai,6977000,0,6977000,0,Hoàn thành,2026-06-05T00:00:00
HD000066,2026-04-23T00:00:00,KH01048,Bà Vi Dương,2878000,0,2878000,0,Hoàn thành,2026-04-23T00:00:00
HD000067,2026-04-13T00:00:00,KH01021,Nhiên Đặng,4014000,0,4014000,0,Hoàn thành,2026-04-13T00:00:00
HD000068,2026-04-12T00:00:00,KH01044,Anh Mai,1757800,0,1757800,0,Hoàn thành,2026-04-12T00:00:00
HD000069,2026-03-26T00:00:00,KH01001,Bà Nhật Mai,2156000,0,2156000,0,Hoàn thành,2026-03-26T00:00:00
HD000070,2026-05-21T00:00:00,KH01017,Cô Linh Hoàng,555000,0,555000,0,Hoàn thành,2026-05-21T00:00:00
HD000071,2026-05-11T00:00:00,KH01014,Quang Phạm,4157500,0,4157500,0,Hoàn thành,2026-05-11T00:00:00
HD000072,2026-04-02T00:00:00,KH01057,Bác Anh Phạm,1391000,0,1391000,0,Hoàn thành,2026-04-02T00:00:00
HD000073,2026-04-29T00:00:00,KH01058,Xuân Phạm,1974800,0,1974800,0,Hoàn thành,2026-04-29T00:00:00
HD000074,2026-04-20T00:00:00,KH01022,Minh Hải Dương,330000,0,330000,0,Hoàn thành,2026-04-20T00:00:00
HD000075,2026-05-12T00:00:00,KH01079,Thành Tấn Vũ,2852000,0,2852000,0,Hoàn thành,2026-05-12T00:00:00
HD000076,2026-05-08T00:00:00,KH01054,Thảo Phạm,4277000,0,4277000,0,Hoàn thành,2026-05-08T00:00:00
HD000077,2026-05-20T00:00:00,KH01008,Chi Đặng,2466000,0,2466000,0,Hoàn thành,2026-05-20T00:00:00
HD000078,2026-05-13T00:00:00,KH01032,Châu Bùi,1189000,0,1189000,0,Hoàn thành,2026-05-13T00:00:00
HD000079,2026-04-17T00:00:00,KH01051,Anh Bùi,1120200,0,1120200,0,Hoàn thành,2026-04-17T00:00:00
HD000080,2026-03-26T00:00:00,KH01054,Thảo Phạm,5721250,0,5721250,0,Hoàn thành,2026-03-26T00:00:00
HD000081,2026-04-16T00:00:00,KH01033,Quý cô Kim Lê,3292200,0,3292200,0,Hoàn thành,2026-04-16T00:00:00
HD000082,2026-05-24T00:00:00,KH01042,Cô Lâm Nguyễn,1128000,0,1128000,0,Hoàn thành,2026-05-24T00:00:00
HD000083,2026-03-16T00:00:00,KH01010,Bác Hưng Dương,3534000,0,3534000,0,Hoàn thành,2026-03-16T00:00:00
HD000084,2026-03-16T00:00:00,KH01039,Lâm Phạm,2932000,0,2932000,0,Hoàn thành,2026-03-16T00:00:00
HD000085,2026-05-01T00:00:00,KH01029,Linh Lê,3154000,0,3154000,0,Hoàn thành,2026-05-01T00:00:00
HD000086,2026-05-19T00:00:00,KH01038,Mai Hoàng,1748400,0,1748400,0,Hoàn thành,2026-05-19T00:00:00
HD000087,2026-06-02T00:00:00,KH01040,Quý cô Linh Vũ,3248000,0,3248000,0,Hoàn thành,2026-06-02T00:00:00
HD000088,2026-04-14T00:00:00,KH01027,Hà Mai Trần,937000,93700,843300,0,Hoàn thành,2026-04-14T00:00:00
HD000089,2026-04-06T00:00:00,KH01052,Quý cô Xuân Lê,448000,0,448000,0,Hoàn thành,2026-04-06T00:00:00
HD000090,2026-04-07T00:00:00,KH01027,Hà Mai Trần,2117000,0,2117000,0,Hoàn thành,2026-04-07T00:00:00
HD000091,2026-04-23T00:00:00,KH01012,Quý cô Chi Phạm,2247600,224760,2022840,0,Hoàn thành,2026-04-23T00:00:00
HD000092,2026-05-12T00:00:00,KH01032,Châu Bùi,1338200,133820,1204380,0,Hoàn thành,2026-05-12T00:00:00
HD000093,2026-05-15T00:00:00,KH01051,Anh Bùi,3264700,0,3264700,0,Hoàn thành,2026-05-15T00:00:00
HD000094,2026-03-19T00:00:00,KH01027,Hà Mai Trần,2081600,0,2081600,0,Hoàn thành,2026-03-19T00:00:00
HD000095,2026-03-19T00:00:00,KH01035,Tú Thị Hoàng,2684000,0,2684000,0,Hoàn thành,2026-03-19T00:00:00
HD000096,2026-04-18T00:00:00,KH01015,Lâm Mai,2814000,0,2814000,0,Hoàn thành,2026-04-18T00:00:00
HD000097,2026-04-27T00:00:00,KH01053,Bà Bảo Lê,3233600,0,3233600,0,Hoàn thành,2026-04-27T00:00:00
HD000098,2026-05-26T00:00:00,KH01088,Cô Phương Trần,3223000,0,3223000,0,Hoàn thành,2026-05-26T00:00:00
HD000099,2026-04-09T00:00:00,KH01050,Hà Thế Mai,1834000,0,1834000,0,Hoàn thành,2026-04-09T00:00:00
HD000100,2026-03-22T00:00:00,KH01085,Bảo Dương,3540350,0,3540350,0,Hoàn thành,2026-03-22T00:00:00
HD000101,2026-04-27T00:00:00,KH01001,Bà Nhật Mai,2162800,0,2162800,0,Hoàn thành,2026-04-27T00:00:00
HD000102,2026-04-16T00:00:00,KH01034,Hưng Trí Nguyễn,754000,0,754000,0,Hoàn thành,2026-04-16T00:00:00
HD000103,2026-03-22T00:00:00,KH01001,Bà Nhật Mai,4008500,0,4008500,0,Hoàn thành,2026-03-22T00:00:00
HD000104,2026-04-09T00:00:00,KH01023,Cô Kim Lê,3141000,0,3141000,0,Hoàn thành,2026-04-09T00:00:00
HD000105,2026-06-05T00:00:00,KH01005,Yến Dương,3859800,0,3859800,0,Hoàn thành,2026-06-05T00:00:00
HD000106,2026-05-01T00:00:00,KH01039,Lâm Phạm,2694200,0,2694200,0,Hoàn thành,2026-05-01T00:00:00
HD000107,2026-03-10T00:00:00,KH01007,Ông Phúc Trần,2086000,0,2086000,0,Hoàn thành,2026-03-10T00:00:00
HD000108,2026-03-12T00:00:00,KH01034,Hưng Trí Nguyễn,3143000,0,3143000,0,Hoàn thành,2026-03-12T00:00:00
HD000109,2026-03-17T00:00:00,KH01022,Minh Hải Dương,437000,0,437000,0,Hoàn thành,2026-03-17T00:00:00
HD000110,2026-05-14T00:00:00,KH01013,Chi Hoàng,2316000,0,2316000,0,Hoàn thành,2026-05-14T00:00:00
HD000111,2026-03-12T00:00:00,KH01052,Quý cô Xuân Lê,1906400,0,1906400,0,Hoàn thành,2026-03-12T00:00:00
HD000112,2026-05-16T00:00:00,KH01023,Cô Kim Lê,1965000,0,1965000,0,Hoàn thành,2026-05-16T00:00:00
HD000113,2026-06-03T00:00:00,KH01010,Bác Hưng Dương,663000,0,663000,0,Hoàn thành,2026-06-03T00:00:00
HD000114,2026-03-26T00:00:00,KH01041,Nam Mai,3754000,0,3754000,0,Hoàn thành,2026-03-26T00:00:00
HD000115,2026-04-02T00:00:00,KH01058,Xuân Phạm,3485000,0,3485000,0,Hoàn thành,2026-04-02T00:00:00
HD000116,2026-05-11T00:00:00,KH01039,Lâm Phạm,1254000,0,1254000,0,Hoàn thành,2026-05-11T00:00:00
HD000117,2026-05-04T00:00:00,KH01039,Lâm Phạm,2131000,0,2131000,0,Hoàn thành,2026-05-04T00:00:00
HD000118,2026-05-26T00:00:00,KH01045,Cô Xuân Đặng,2702000,0,2702000,0,Hoàn thành,2026-05-26T00:00:00
HD000119,2026-04-15T00:00:00,KH01021,Nhiên Đặng,2581000,0,2581000,0,Hoàn thành,2026-04-15T00:00:00
HD000120,2026-04-09T00:00:00,KH01054,Thảo Phạm,1933000,0,1933000,0,Hoàn thành,2026-04-09T00:00:00
HD000121,2026-05-22T00:00:00,KH01001,Bà Nhật Mai,1152000,0,1152000,0,Hoàn thành,2026-05-22T00:00:00
HD000122,2026-04-21T00:00:00,KH01039,Lâm Phạm,952200,0,952200,0,Hoàn thành,2026-04-21T00:00:00
HD000123,2026-05-02T00:00:00,KH01049,Phúc Trí Hoàng,1353300,0,1353300,0,Hoàn thành,2026-05-02T00:00:00
HD000124,2026-03-21T00:00:00,KH01034,Hưng Trí Nguyễn,2089200,0,2089200,0,Hoàn thành,2026-03-21T00:00:00
HD000125,2026-04-07T00:00:00,KH01027,Hà Mai Trần,837000,0,837000,0,Hoàn thành,2026-04-07T00:00:00
HD000126,2026-03-26T00:00:00,KH01045,Cô Xuân Đặng,1016000,0,1016000,0,Hoàn thành,2026-03-26T00:00:00
HD000127,2026-04-30T00:00:00,KH01044,Anh Mai,3249000,0,3249000,0,Hoàn thành,2026-04-30T00:00:00
HD000128,2026-05-25T00:00:00,KH01020,Nhật Phú Bùi,1426000,0,1426000,0,Hoàn thành,2026-05-25T00:00:00
HD000129,2026-05-30T00:00:00,KH01072,Hạnh Lê,3404000,0,3404000,0,Hoàn thành,2026-05-30T00:00:00
HD000130,2026-05-20T00:00:00,KH01030,Quang Tấn Hoàng,1051200,0,1051200,0,Hoàn thành,2026-05-20T00:00:00
HD000131,2026-04-28T00:00:00,KH01036,Ông Trọng Phạm,2800700,0,2800700,0,Hoàn thành,2026-04-28T00:00:00
HD000132,2026-03-17T00:00:00,KH01022,Minh Hải Dương,3482000,0,3482000,0,Hoàn thành,2026-03-17T00:00:00
HD000133,2026-04-11T00:00:00,KH01009,Châu Hoàng,3994000,0,3994000,0,Hoàn thành,2026-04-11T00:00:00
HD000134,2026-05-13T00:00:00,KH01026,Khoa Mai Bảo Nguyễn,3964650,0,3964650,0,Hoàn thành,2026-05-13T00:00:00
HD000135,2026-03-13T00:00:00,KH01039,Lâm Phạm,2627000,0,2627000,0,Hoàn thành,2026-03-13T00:00:00
HD000136,2026-03-17T00:00:00,KH01066,Cô Mai Vũ,3237000,0,3237000,0,Hoàn thành,2026-03-17T00:00:00
HD000137,2026-05-11T00:00:00,KH01100,Bà Bảo Phạm,1772200,177220,1594980,0,Hoàn thành,2026-05-11T00:00:00
HD000138,2026-06-01T00:00:00,KH01027,Hà Mai Trần,1413500,0,1413500,0,Hoàn thành,2026-06-01T00:00:00
HD000139,2026-05-14T00:00:00,KH01029,Linh Lê,3150800,0,3150800,0,Hoàn thành,2026-05-14T00:00:00
HD000140,2026-04-28T00:00:00,KH01050,Hà Thế Mai,2920000,0,2920000,0,Hoàn thành,2026-04-28T00:00:00
HD000141,2026-03-24T00:00:00,KH01038,Mai Hoàng,1032000,0,1032000,0,Hoàn thành,2026-03-24T00:00:00
HD000142,2026-03-14T00:00:00,KH01060,Minh Đức Phạm,1369000,0,1369000,0,Hoàn thành,2026-03-14T00:00:00
HD000143,2026-04-29T00:00:00,KH01060,Minh Đức Phạm,1173500,0,1173500,0,Hoàn thành,2026-04-29T00:00:00
HD000144,2026-03-19T00:00:00,KH01041,Nam Mai,2737400,0,2737400,0,Hoàn thành,2026-03-19T00:00:00
HD000145,2026-04-28T00:00:00,KH01035,Tú Thị Hoàng,2816000,0,2816000,0,Hoàn thành,2026-04-28T00:00:00
HD000146,2026-05-09T00:00:00,KH01020,Nhật Phú Bùi,2703000,0,2703000,0,Hoàn thành,2026-05-09T00:00:00
HD000147,2026-04-22T00:00:00,KH01076,Chị Mai Hoàng,4157400,0,4157400,0,Hoàn thành,2026-04-22T00:00:00
HD000148,2026-04-07T00:00:00,KH01093,Quý cô Phương Vũ,647000,0,647000,0,Hoàn thành,2026-04-07T00:00:00
HD000149,2026-05-21T00:00:00,KH01060,Minh Đức Phạm,4015500,0,4015500,0,Hoàn thành,2026-05-21T00:00:00
HD000150,2026-03-13T00:00:00,KH01007,Ông Phúc Trần,1829000,0,1829000,0,Hoàn thành,2026-03-13T00:00:00
HD000151,2026-03-31T00:00:00,KH01078,Lâm Lê,2369000,0,2369000,0,Hoàn thành,2026-03-31T00:00:00
HD000152,2026-04-19T00:00:00,KH01012,Quý cô Chi Phạm,1490500,0,1490500,0,Hoàn thành,2026-04-19T00:00:00
HD000153,2026-05-21T00:00:00,KH01028,Bảo Dương,1958000,0,1958000,0,Hoàn thành,2026-05-21T00:00:00
HD000154,2026-05-11T00:00:00,KH01010,Bác Hưng Dương,1745000,0,1745000,0,Hoàn thành,2026-05-11T00:00:00
HD000155,2026-04-20T00:00:00,KH01032,Châu Bùi,2347000,0,2347000,0,Hoàn thành,2026-04-20T00:00:00
HD000156,2026-05-11T00:00:00,KH01067,Quý ông Trọng Lê,2875000,0,2875000,0,Hoàn thành,2026-05-11T00:00:00
HD000157,2026-03-22T00:00:00,KH01012,Quý cô Chi Phạm,2876000,0,2876000,0,Hoàn thành,2026-03-22T00:00:00
HD000158,2026-04-30T00:00:00,KH01049,Phúc Trí Hoàng,1840300,0,1840300,0,Hoàn thành,2026-04-30T00:00:00
HD000159,2026-04-15T00:00:00,KH01094,Vi Trần,4052400,0,4052400,0,Hoàn thành,2026-04-15T00:00:00
HD000160,2026-05-20T00:00:00,KH01005,Yến Dương,1754000,0,1754000,0,Hoàn thành,2026-05-20T00:00:00
HD000161,2026-05-18T00:00:00,KH01005,Yến Dương,4898000,0,4898000,0,Hoàn thành,2026-05-18T00:00:00
HD000162,2026-05-27T00:00:00,KH01011,Lâm Văn Phạm,3140800,0,3140800,0,Hoàn thành,2026-05-27T00:00:00
HD000163,2026-04-13T00:00:00,KH01037,Hạnh Thị Nguyễn,1986000,0,1986000,0,Hoàn thành,2026-04-13T00:00:00
HD000164,2026-05-20T00:00:00,KH01055,Hải Hoàng,3518000,351800,3166200,0,Hoàn thành,2026-05-20T00:00:00
HD000165,2026-04-20T00:00:00,KH01049,Phúc Trí Hoàng,1001000,0,1001000,0,Hoàn thành,2026-04-20T00:00:00
HD000166,2026-04-17T00:00:00,KH01020,Nhật Phú Bùi,5850000,0,5850000,0,Hoàn thành,2026-04-17T00:00:00
HD000167,2026-04-30T00:00:00,KH01052,Quý cô Xuân Lê,2821200,0,2821200,0,Hoàn thành,2026-04-30T00:00:00
HD000168,2026-05-06T00:00:00,KH01004,Bảo Quang Mai,4663000,0,4663000,0,Hoàn thành,2026-05-06T00:00:00
HD000169,2026-05-08T00:00:00,KH01042,Cô Lâm Nguyễn,1873200,0,1873200,0,Hoàn thành,2026-05-08T00:00:00
HD000170,2026-03-11T00:00:00,KH01063,Quý ông Minh Phạm,692000,0,692000,0,Hoàn thành,2026-03-11T00:00:00
HD000171,2026-04-17T00:00:00,KH01050,Hà Thế Mai,3314650,0,3314650,0,Hoàn thành,2026-04-17T00:00:00
HD000172,2026-04-16T00:00:00,KH01048,Bà Vi Dương,5333000,0,5333000,0,Hoàn thành,2026-04-16T00:00:00
HD000173,2026-03-26T00:00:00,KH01051,Anh Bùi,2851000,0,2851000,0,Hoàn thành,2026-03-26T00:00:00
HD000174,2026-05-12T00:00:00,KH01022,Minh Hải Dương,3878100,0,3878100,0,Hoàn thành,2026-05-12T00:00:00
HD000175,2026-06-04T00:00:00,KH01072,Hạnh Lê,1274000,0,1274000,0,Hoàn thành,2026-06-04T00:00:00
HD000176,2026-04-25T00:00:00,KH01021,Nhiên Đặng,2258500,0,2258500,0,Hoàn thành,2026-04-25T00:00:00
HD000177,2026-06-04T00:00:00,KH01027,Hà Mai Trần,3467200,0,3467200,0,Hoàn thành,2026-06-04T00:00:00
HD000178,2026-03-31T00:00:00,KH01022,Minh Hải Dương,659000,0,659000,0,Hoàn thành,2026-03-31T00:00:00
HD000179,2026-03-20T00:00:00,KH01010,Bác Hưng Dương,2773900,0,2773900,0,Hoàn thành,2026-03-20T00:00:00
HD000180,2026-06-05T00:00:00,KH01066,Cô Mai Vũ,3661000,0,3661000,0,Hoàn thành,2026-06-05T00:00:00
HD000181,2026-04-21T00:00:00,KH01031,Hưng Đặng,783600,78360,705240,0,Hoàn thành,2026-04-21T00:00:00
HD000182,2026-05-12T00:00:00,KH01012,Quý cô Chi Phạm,2142550,0,2142550,0,Hoàn thành,2026-05-12T00:00:00
HD000183,2026-04-26T00:00:00,KH01018,Cô Thành Đặng,1856000,0,1856000,0,Hoàn thành,2026-04-26T00:00:00
HD000184,2026-05-01T00:00:00,KH01059,Cô Linh Lê,565500,0,565500,0,Hoàn thành,2026-05-01T00:00:00
HD000185,2026-04-03T00:00:00,KH01026,Khoa Mai Bảo Nguyễn,3069750,0,3069750,0,Hoàn thành,2026-04-03T00:00:00
HD000186,2026-03-18T00:00:00,KH01051,Anh Bùi,395000,0,395000,0,Hoàn thành,2026-03-18T00:00:00
HD000187,2026-03-31T00:00:00,KH01065,Hoàng Xuân Mai,1104350,0,1104350,0,Hoàn thành,2026-03-31T00:00:00
HD000188,2026-03-20T00:00:00,KH01027,Hà Mai Trần,3694300,0,3694300,0,Hoàn thành,2026-03-20T00:00:00
HD000189,2026-06-03T00:00:00,KH01031,Hưng Đặng,3725100,0,3725100,0,Hoàn thành,2026-06-03T00:00:00
HD000190,2026-05-27T00:00:00,KH01007,Ông Phúc Trần,1801000,0,1801000,0,Hoàn thành,2026-05-27T00:00:00
HD000191,2026-05-11T00:00:00,KH01064,Chị Mai Bùi,811200,0,811200,0,Hoàn thành,2026-05-11T00:00:00
HD000192,2026-04-08T00:00:00,KH01006,Bác Quang Nguyễn,1425200,0,1425200,0,Hoàn thành,2026-04-08T00:00:00
HD000193,2026-05-13T00:00:00,KH01040,Quý cô Linh Vũ,1820100,0,1820100,0,Hoàn thành,2026-05-13T00:00:00
HD000194,2026-04-15T00:00:00,KH01039,Lâm Phạm,2636600,0,2636600,0,Hoàn thành,2026-04-15T00:00:00
HD000195,2026-04-02T00:00:00,KH01051,Anh Bùi,1267000,0,1267000,0,Hoàn thành,2026-04-02T00:00:00
HD000196,2026-03-26T00:00:00,KH01090,Cô Nhật Dương,1916000,0,1916000,0,Hoàn thành,2026-03-26T00:00:00
HD000197,2026-05-13T00:00:00,KH01055,Hải Hoàng,2232200,0,2232200,0,Hoàn thành,2026-05-13T00:00:00
HD000198,2026-04-09T00:00:00,KH01020,Nhật Phú Bùi,6505000,0,6505000,0,Hoàn thành,2026-04-09T00:00:00
HD000199,2026-05-27T00:00:00,KH01051,Anh Bùi,2865000,0,2865000,0,Hoàn thành,2026-05-27T00:00:00
HD000200,2026-05-01T00:00:00,KH01048,Bà Vi Dương,1146000,0,1146000,0,Hoàn thành,2026-05-01T00:00:00
HD000201,2026-03-27T00:00:00,KH01059,Cô Linh Lê,3937000,0,3937000,0,Hoàn thành,2026-03-27T00:00:00
HD000202,2026-06-06T00:00:00,KH01047,Hưng Mai,3372200,0,3372200,0,Hoàn thành,2026-06-06T00:00:00
HD000203,2026-04-02T00:00:00,KH01021,Nhiên Đặng,3248000,0,3248000,0,Hoàn thành,2026-04-02T00:00:00
HD000204,2026-04-10T00:00:00,KH01001,Bà Nhật Mai,4794000,0,4794000,0,Hoàn thành,2026-04-10T00:00:00
HD000205,2026-04-06T00:00:00,KH01088,Cô Phương Trần,2813200,0,2813200,0,Hoàn thành,2026-04-06T00:00:00
HD000206,2026-06-01T00:00:00,KH01024,Hà Thị Bùi,2949950,0,2949950,0,Hoàn thành,2026-06-01T00:00:00
HD000207,2026-05-27T00:00:00,KH01018,Cô Thành Đặng,2228000,0,2228000,0,Hoàn thành,2026-05-27T00:00:00
HD000208,2026-04-14T00:00:00,KH01002,Lâm Trí Hoàng,1262000,0,1262000,0,Hoàn thành,2026-04-14T00:00:00
